Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
ContentJet Inc.,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/contentjet-inc-automation-integration-engineer,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,7,"Directly matches your rag focus; overlaps with your docker, agent, python experience; remote/hybrid accessible from Tunisia.",We Work Remotely
Tether,Lab,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/tether-ai-research-engineer,Good ML fit; emphasize agent background. Remote available — mention international availability.,6,"Overlaps with your agent, machine learning, nlp experience; remote/hybrid accessible from Tunisia.",We Work Remotely
Insider One,Startup,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-frontend-developer-vue-js-insider-one-1131167,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,6,Directly matches your rag focus; overlaps with your machine learning experience; remote/hybrid accessible from Tunisia.,Remote OK
MoonPay,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-cloud-security-engineer-moonpay-1130923,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,6,Directly matches your rag focus; overlaps with your python experience; remote/hybrid accessible from Tunisia.,Remote OK
Reveleer,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/reveleer-full-stack-ai-engineer,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,5,Directly matches your rag focus; overlaps with your agent experience; remote/hybrid accessible from Tunisia.,We Work Remotely
Front End Engineer,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/eventmobi-front-end-engineer-remote,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,5,Directly matches your rag focus; remote/hybrid accessible from Tunisia.,We Work Remotely
ContentJet Inc.,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/contentjet-inc-ai-agent-architect-builder,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,5,"Directly matches your rag focus; overlaps with your agent, python experience; remote/hybrid accessible from Tunisia.",We Work Remotely
Pilotly,Company,"Flexible / Remote, Los Angeles, CA, Oakland, CA",Remote possible (Medium),,,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,5,"Directly matches your rag focus; overlaps with your python, data science experience; remote/hybrid accessible from Tunisia.",The Muse
Alimentiv,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-imaging-research-and-development-associate-alimentiv-1131217,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,5,Directly matches your rag focus; remote/hybrid accessible from Tunisia.,Remote OK
Insider One,Startup,"Istanbul, Turkiye",Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-ai-transformation-lead-insider-one-1131194,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,5,Directly matches your rag focus; overlaps with your machine learning experience; remote/hybrid accessible from Tunisia.,Remote OK
